Title,Cleaned_Title
"  director of Innovation , manager of operations ",director of Innovation
academic advising manager,Academic Advising Manager
academic affairs manager,Academic Affairs Manager
"Accelerating growth in Private Equity backed ventures, CFO - COO",COO
"Accelerating growth Manager in AX backed ventures, CFO",CFO
accounting manager,Accounting Manager
Acting COO & Head of Underwriting,COO
"Acting Manager of Operations, Interim Director of Legal",Interim Director of Legal
actuarial services manager,Actuarial Services Manager
admissions manager,Admissions Manager
Advanced and Predictive Analytics Product Owner,Product Owner
agile manager,Agile Manager
"Agile Program Manager - HR Digital Platform, Certified SAFe Product Owner / Product Manager",Product Owner
ai manager,AI Manager
alumni relations manager,Alumni Relations Manager
analytics director,Analytics Director
analytics director,Analytics Director
analytics manager,Analytics Manager
animation manager,Animation Manager
application development manager,Application Development Manager
ar/vr manager,AR/VR Manager
architecture manager,Architecture Manager
Area Completions Lead / System Owner,System Owner
art education manager,Art Education Manager
arts and culture manager,Arts and Culture Manager
asset allocation manager,Asset Allocation Manager
asset management manager,Asset Management Manager
Assistant Manager of HR / Executive Director of Operations,Executive Director of Operations
athletic training manager,Athletic Training Manager
athletics manager,Athletics Manager
automation manager,Automation Manager
behavioral health manager,Behavioral Health Manager
benefits administration manager,Benefits Administration Manager
bi manager,BI Manager
big data manager,Big Data Manager
bioinformatics manager,Bioinformatics Manager
biostatistics manager,Biostatistics Manager
blockchain manager,Blockchain Manager
brand director,Brand Director
brand director,Brand Director
brand manager,Brand Manager
broadcasting manager,Broadcasting Manager
brokerage manager,Brokerage Manager
budgeting manager,Budgeting Manager
business analytics manager,Business Analytics Manager
business continuity manager,Business Continuity Manager
business development director,Business Development Director
business development director,Business Development Director
business development manager,Business Development Manager
business intelligence manager,Business Intelligence Manager
"Business Manager, UK CEO Office",CEO
Business Owner,Owner
campus life manager,Campus Life Manager
campus recreation manager,Campus Recreation Manager
career services manager,Career Services Manager
case management manager,Case Management Manager
catering manager,Catering Manager
CEO - Acrisure London Wholesale,CEO
CEO - Founder,Founder
CEO - MGA,CEO
CEO / Founder,Founder
CEO / Founding Partner,Founding Partner
CEO / Managing Director,CEO
CEO / President,President
CEO & Chief Underwriting Officer,CEO
CEO & Director of Business Development,CEO
CEO & Director of Business Development,CEO
CEO & Founder,Founder
CEO & Managing Partner,Managing Partner
CEO Alchemy Underwriting Ltd.,CEO
CEO Alchemy Underwriting PI,CEO
CEO and Co-Founder,Co-Founder
CEO and co-founder,Co-Founder
CEO and Founding Partner,Founding Partner
CEO and Head of Asset Management Underwriting,CEO
CEO and Owner,Owner
CEO and President,President
CEO at Ventis,CEO
CEO Citadel Risk Group,CEO
CEO Property Services,CEO
"CEO, and Founder",Founder
"CEO, Founding Partner",Founding Partner
CEO/Founder,Founder
CEO/Owner,Owner
CEO/Owner/Co-Founder,Co-Founder
CEO/Owner/Founder,Founder
CFO & Co-Founder,Co-Founder
Chair & Founder/Owner,Founder
chairman,Chairman
change management manager,Change Management Manager
Chevron Digital Core Analytics - Agile Product Owner,Product Owner
Chevron Leadership - Product Owner MidCon Data & & Insights,Product Owner
"Chevron Technology Center: Product Owner, 1) Standard MFO P&IDs, 2) Auto-generated Smart P&IDs",Product Owner
chief academic officer,Chief Academic Officer
chief account management officer,Chief Account Management Officer
chief accounting officer,Chief Accounting Officer
chief acquisition officer,Chief Acquisition Officer
chief actuarial officer,Chief Actuarial Officer
chief administrative officer,Chief Administrative Officer
chief aerospace engineering officer,Chief Aerospace Engineering Officer
chief agile engineering officer,Chief Agile Engineering Officer
chief ai engineering officer,Chief AI Engineering Officer
chief alliances officer,Chief Alliances Officer
chief analytics engineering officer,Chief Analytics Engineering Officer
chief analytics officer,Chief Analytics Officer
chief applications engineering officer,Chief Applications Engineering Officer
chief applications officer,Chief Applications Officer
chief artificial intelligence officer,Chief Artificial Intelligence Officer
chief audit executive,Chief Audit Executive
chief augmented reality officer,Chief Augmented Reality Officer
chief automation engineering officer,Chief Automation Engineering Officer
chief automation officer,Chief Automation Officer
chief benefits officer,Chief Benefits Officer
chief biomedical engineering officer,Chief Biomedical Engineering Officer
chief biostatistics officer,Chief Biostatistics Officer
chief blockchain officer,Chief Blockchain Officer
chief brand marketing officer,Chief Brand Marketing Officer
chief brand officer,Chief Brand Officer
chief business development officer,Chief Business Development Officer
chief business operations officer,Chief Business Operations Officer
chief career development officer,Chief Career Development Officer
chief channel officer,Chief Channel Officer
chief chemical engineering officer,Chief Chemical Engineering Officer
chief civil engineering officer,Chief Civil Engineering Officer
chief claims officer,Chief Claims Officer
chief client services officer,Chief Client Services Officer
chief clinical development officer,Chief Clinical Development Officer
chief clinical officer,Chief Clinical Officer
chief clinical operations officer,Chief Clinical Operations Officer
chief clinical research officer,Chief Clinical Research Officer
chief cloud engineering officer,Chief Cloud Engineering Officer
chief cloud officer,Chief Cloud Officer
chief commercial officer,Chief Commercial Officer
chief communications officer,Chief Communications Officer
chief community engagement officer,Chief Community Engagement Officer
chief community officer,Chief Community Officer
chief compensation officer,Chief Compensation Officer
chief compliance officer,Chief Compliance Officer
chief consumer officer,Chief Consumer Officer
chief content marketing officer,Chief Content Marketing Officer
chief content officer,Chief Content Officer
chief continuous improvement officer,Chief Continuous Improvement Officer
chief contracts officer,Chief Contracts Officer
chief corporate affairs officer,Chief Corporate Affairs Officer
chief corporate communications officer,Chief Corporate Communications Officer
chief corporate development officer,Chief Corporate Development Officer
chief creative officer,Chief Creative Officer
chief culture officer,Chief Culture Officer
chief customer advocacy officer,Chief Customer Advocacy Officer
chief customer experience officer,Chief Customer Experience Officer
chief customer insights officer,Chief Customer Insights Officer
chief customer intelligence officer,Chief Customer Intelligence Officer
chief customer loyalty officer,Chief Customer Loyalty Officer
chief customer officer,Chief Customer Officer
chief customer operations officer,Chief Customer Operations Officer
chief customer retention officer,Chief Customer Retention Officer
chief customer success officer,Chief Customer Success Officer
chief customer success officer,Chief Customer Success Officer
chief customer support officer,Chief Customer Support Officer
chief data engineering officer,Chief Data Engineering Officer
chief data officer,Chief Data Officer
chief database officer,Chief Database Officer
chief deal desk officer,Chief Deal Desk Officer
chief deal officer,Chief Deal Officer
chief demand generation officer,Chief Demand Generation Officer
chief demand planning officer,Chief Demand Planning Officer
chief design engineering officer,Chief Design Engineering Officer
chief design officer,Chief Design Officer
chief development officer,Chief Development Officer
chief devops engineering officer,Chief DevOps Engineering Officer
chief devops officer,Chief DevOps Officer
chief digital engineering officer,Chief Digital Engineering Officer
chief digital health officer,Chief Digital Health Officer
chief digital marketing officer,Chief Digital Marketing Officer
chief digital officer,Chief Digital Officer
chief digital transformation officer,Chief Digital Transformation Officer
chief digital workplace officer,Chief Digital Workplace Officer
chief distribution officer,Chief Distribution Officer
chief distribution operations officer,Chief Distribution Operations Officer
chief diversity officer,Chief Diversity Officer
chief ecosystem officer,Chief Ecosystem Officer
chief electrical engineering officer,Chief Electrical Engineering Officer
chief emergency management officer,Chief Emergency Management Officer
chief employee engagement officer,Chief Employee Engagement Officer
chief employee experience officer,Chief Employee Experience Officer
chief employee relations officer,Chief Employee Relations Officer
chief engagement officer,Chief Engagement Officer
chief engineering officer,Chief Engineering Officer
chief enterprise architecture officer,Chief Enterprise Architecture Officer
chief environmental engineering officer,Chief Environmental Engineering Officer
chief environmental officer,Chief Environmental Officer
chief ethics officer,Chief Ethics Officer
chief executive officer,CEO
Chief Executive Officer and Owner,Owner
Chief Executive Officer and Sustainability Officer,CEO
"Chief Executive Officer, Active Underwriter",CEO
chief experience officer,Chief Experience Officer
chief facilities operations officer,Chief Facilities Operations Officer
chief facility management officer,Chief Facility Management Officer
chief field marketing officer,Chief Field Marketing Officer
chief field operations officer,Chief Field Operations Officer
chief field operations officer,Chief Field Operations Officer
chief field support officer,Chief Field Support Officer
Chief Finance and Operating Officer,COO
chief financial officer,CFO
chief fleet management officer,Chief Fleet Management Officer
chief flexibility officer,Chief Flexibility Officer
chief forecasting officer,Chief Forecasting Officer
chief global supply chain officer,Chief Global Supply Chain Officer
chief governance officer,Chief Governance Officer
chief government relations officer,Chief Government Relations Officer
chief growth officer,Chief Growth Officer
chief hardware engineering officer,Chief Hardware Engineering Officer
chief health and safety officer,Chief Health and Safety Officer
chief health equity officer,Chief Health Equity Officer
chief health information officer,Chief Health Information Officer
chief health officer,Chief Health Officer
chief healthcare transformation officer,Chief Healthcare Transformation Officer
chief human capital officer,Chief Human Capital Officer
chief human resources officer,Chief Human Resources Officer
chief incentives officer,Chief Incentives Officer
chief inclusion officer,Chief Inclusion Officer
chief industrial engineering officer,Chief Industrial Engineering Officer
chief information officer,Chief Information Officer
chief information security officer,Chief Information Security Officer
chief infrastructure engineering officer,Chief Infrastructure Engineering Officer
chief infrastructure officer,Chief Infrastructure Officer
chief innovation officer,Chief Innovation Officer
chief integration engineering officer,Chief Integration Engineering Officer
chief integration officer,Chief Integration Officer
chief internet of things officer,Chief Internet of Things Officer
chief inventory officer,Chief Inventory Officer
chief investment officer,Chief Investment Officer
chief investor relations officer,Chief Investor Relations Officer
chief it operations officer,Chief IT Operations Officer
chief labor and employee relations officer,Chief Labor and Employee Relations Officer
chief labor relations officer,Chief Labor Relations Officer
chief leadership development officer,Chief Leadership Development Officer
chief lean engineering officer,Chief Lean Engineering Officer
chief lean officer,Chief Lean Officer
chief learning and development officer,Chief Learning and Development Officer
chief learning officer,Chief Learning Officer
chief legal officer,Chief Legal Officer
chief logistics officer,Chief Logistics Officer
